Product Name,Category,Description,Price,Stock,Image,Additional Images,Custom Fields,Created At,Updated At
Samsung galaxy f13,Mobiles,"Enjoy seamless connectivity and an uninterrupted movie marathon with the impressive Samsung Galaxy F13 that is designed specifically to impress the entertainment fanatics. This smartphone features a terrific 16.62 cm (6.6) FHD+ LCD Display that can effortlessly blow your mind with its incredible performance. Furthermore, this phone boasts a 50 MP Triple Camera setup that allows you to capture awesomeness with a gentle tap. Moreover, the Samsung Galaxy F13 sports up to 8 GB of RAM and features an innovative RAM plus technology that taps into the phone’s internal storage to elevate its performance.",7499.00,0,/media/product_images/f13-1-1_1_wQJmgqb.png,,,2024-02-21 17:53:13+00:00,2024-02-21 17:55:26.240156+00:00
Redmi Note 13,Mobiles,"The Redmi Note 13 Pro+ 5G is a symphony of innovation, luxury, and power. With Fusion Design, a 3D Curved AMOLED Display, In-Display Fingerprint Sensor, Sharp 1.5K Resolution, Flagship IP68 Protection, Elegance Meets Endurance, True 200 MP With OIS, 120 W HyperCharge, and the Global Debut of the MediaTek Dimensity 7200 Ultra-5G, this SuperNote transcends the realm of smartphones. It's a masterpiece that blends art and technology seamlessly, offering an unparalleled experience that goes beyond expectations. Elevate your mobile journey with the Redmi Note 13 Pro+ 5G – where innovation meets perfection.",31999.00,0,/media/product_images/xiaomi-redmi-note-13-pro-plus-12gb256gb-purple_1_R47YbUK.png,,,2024-02-21 17:56:01+00:00,2024-02-21 17:57:36.952869+00:00
Poco M6 Pro 5G,Mobiles,"This Poco M6 Pro 5G is a resourceful smartphone helping you to carry out a horde of tasks effortlessly. Equipped with a 4nm Snapdragon processor, Turbo RAM for quick multitasking, 50 MP Dual AI Camera, and 5000 mAh mammoth battery capacity, this phone can be your best companion for all your voyages. It has a premium glass design that comes in a 16.24 cm (6.79) display and has a 90 Hz refresh rate for seamless navigation.",11999.00,0,/media/product_images/m6-pro-5g-mzb0eprin-poco-original-imags3e7vewsafst_1_RFrkHp6.png,,,2024-02-21 18:00:07+00:00,2024-02-21 18:04:54.005850+00:00
Motorola G54 5G,Mobiles,"Stay productive and improve your performance with this resourceful smartphone that has a myriad of features to its name. With 8 GB RAM and 128 GB storage, you can seamlessly perform a multitude of tasks at ease and stack up a heap of content with the huge storage space. The 7020 octa-core MediaTek Dimensity processor delivers a power-packed performance. The 50 MP OIS camera is equipped with Quad Pixel technology and the 16 MP front camera lets you cherish your photography experience. Powered by a 6000 mAh battery supported with a 33 W charger, you can use this mobile for hours together without fearing power drop. With 14 5G bands, experience superfast network connectivity. Experience immersive entertainment with the 120 Hz with 16.6 cm FHD+ Display. Featuring a premium glass finish, stereo speakers with Dolby Atmos and Moto Spatial sound, IP52 rating, this phone lets you have an incredible experience.",13999.00,0,/media/product_images/158553-800-auto_1_QkFw4zB.png,,,2024-02-21 18:05:44+00:00,2024-02-21 18:06:15.565784+00:00
Vivo T2x 5G,Mobiles,"With the superb Vivo T2x 5G, you can take advantage of great pictures and a flawless user experience. With the Vivo T2x 5G, you can experience exceptional performance owing to its 7 nm 5G CPU, the octa-core Dimensity 6020, with a top clock speed of 2.2 GHz. Additionally, the 50 MP main camera on this smartphone beautifully catches every detail you see. Additionally, Super Night Selfie employs noise cancellation technology in conjunction with an Aura Screen Light to produce a calming light that is effective in low light. The pioneering Extended RAM 3.0 technology also uses ROM to expand RAM with a maximum capacity of 8 GB. This enables smooth app switching and allows up to 27 active applications to run in the background.",12999.00,0,/media/product_images/t2x_1_1_eZYhxdd.png,,,2024-02-21 18:06:26+00:00,2024-02-21 18:07:28.870769+00:00
SAMSUNG Galaxy S23 Ultra,Mobiles,"Get a smartphone for yourself that can detect your moods and react appropriately. The Samsung Galaxy Ultra's potent processor and advanced camera sensor can handle low light and noise reduction. The phone's Snapdragon 8 Gen 2 processor, which also provides a long battery life to carry you through even the busiest days, also enables quick gaming and video streaming. You can also launch Expert RAW to take high-resolution RAW photos that are vivid and packed with information. Moreover, Dynamic AMOLED 2X offers clear, brilliant details in both bright and low-light conditions. Additionally, to smooth up gaming and save power, the refresh rate is automatically optimised with 120 Hz technology.",124999.00,0,/media/product_images/Galaxy-S23-Ultra-PNG-Clipart_1_s0KE6AF.png,,,2024-02-21 18:07:31+00:00,2024-02-21 18:08:16.231890+00:00
ASUS ROG Strix G15,Laptop and Desktop,"The ASUS ROG Strix G15 gaming laptop, model G513RC-HN061W, is a powerful and stylish device designed to deliver an immersive gaming experience. Powered by an AMD Ryzen 7 Octa Core 6800H processor, this laptop ensures smooth multitasking and high-speed performance. The octa-core configuration provides ample processing power to handle demanding tasks, making it well-suited for gaming, content creation, and productivity.",77990.00,0,/media/product_images/pngaaa.com-5113973_1_d0oBHvf.png,,,2024-02-21 18:21:14+00:00,2024-02-21 18:21:57.899631+00:00
SAMSUNG Galaxy Book3 Pro,Laptop and Desktop,"This 16-inch, 1.66kg powerhouse boasts a dazzling AMOLED display, a speedy 13th Gen Intel Core i7 processor, 16GB RAM, and 512GB SSD for smooth multitasking and creative work. Its 2-in-1 design with Windows 11 Home lets you switch between laptop and tablet modes, all wrapped in a sleek graphite finish. Grab it starting at ₹1,23,990.",153000.00,0,/media/product_images/_original_imagupz9spjhhhtw__1_-removebg-preview_1_ztIbIxM.png,,,2024-02-21 18:21:59+00:00,2024-02-21 18:22:55.317495+00:00
OnePlus Open,Mobiles,"Display and Materials: The OnePlus Open is equipped with two AMOLED displays. The internal display measures 7.82 inches and features 2K resolution, a 120Hz refresh rate, and a peak brightness of 2,800 nits. It is protected by ultra-thin glass, which is a hybrid of glass and plastic.",125000.00,2,/media/product_images/oneplus_tDjAGbV_EQ1ERx0.png,,,2024-02-21 18:08:58+00:00,2024-04-03 06:29:48.375906+00:00
Iphone 15(Black),Mobiles,"Experience the iPhone 15 – your dynamic companion. Dynamic Island ensures you stay connected, bubbling up alerts seamlessly while you're busy. Its durable design features infused glass and aerospace-grade aluminum, making it dependable and resistant to water and dust. Capture life with precision using the 48 MP Main Camera, perfect for any shot. Powered by the A16 Bionic Processor, it excels in computational photography and more, all while conserving battery life. Plus, it's USB-C compatible, simplifying your charging needs. Elevate your tech game with the iPhone 15 – innovation at your fingertips. Goodbye cable clutter, hello convenience.",66999.00,0,/media/product_images/Apple-IPhone-15-Black-Titanium-PNG_1_RJ05U4U.png,,"GENERAL: {'Color': 'Mint', 'SIM Type': 'Dual Sim', 'In The Box': ['Handset', 'Data Cable (Type C-to-C)', 'Sim Ejector Pin', 'Quick Start Guide'], 'Model Name': 'Galaxy S23 FE', 'Browse Type': 'Smartphones', 'Touchscreen': True, 'Model Number': 'SM-S711BLGBINS', 'OTG Compatible': True, 'Quick Charging': True, 'Hybrid Sim Slot': 'No'}",2024-02-21 18:04:57+00:00,2024-04-02 19:44:39.171868+00:00
